code,event,finished,kickoff_time,team_a,team_a_score,team_h,team_h_score
2444470,1,True,2024-08-16T19:00:00Z,9,0.0,14,1.0
2444473,1,True,2024-08-17T11:30:00Z,12,2.0,10,0.0
2444471,1,True,2024-08-17T14:00:00Z,20,0.0,1,2.0
2444472,1,True,2024-08-17T14:00:00Z,5,3.0,8,0.0
2444474,1,True,2024-08-17T14:00:00Z,17,0.0,15,1.0
2444475,1,True,2024-08-17T14:00:00Z,3,1.0,16,1.0
2444476,1,True,2024-08-17T16:30:00Z,2,2.0,19,1.0
2444477,1,True,2024-08-18T13:00:00Z,7,1.0,4,2.0
2444478,1,True,2024-08-18T15:30:00Z,13,2.0,6,0.0
2444479,1,True,2024-08-19T19:00:00Z,18,1.0,11,1.0
2444482,2,True,2024-08-24T11:30:00Z,14,1.0,5,2.0
2444483,2,True,2024-08-24T14:00:00Z,19,2.0,7,0.0
2444484,2,True,2024-08-24T14:00:00Z,11,1.0,9,2.0
2444486,2,True,2024-08-24T14:00:00Z,10,1.0,13,4.0
2444487,2,True,2024-08-24T14:00:00Z,16,1.0,17,0.0
2444488,2,True,2024-08-24T14:00:00Z,8,0.0,18,4.0
2444481,2,True,2024-08-24T16:30:00Z,1,2.0,2,0.0
2444480,2,True,2024-08-25T13:00:00Z,15,1.0,3,1.0
2444489,2,True,2024-08-25T13:00:00Z,6,6.0,20,2.0
2444485,2,True,2024-08-25T15:30:00Z,4,0.0,12,2.0
2444490,3,True,2024-08-31T11:30:00Z,5,1.0,1,1.0
2444491,3,True,2024-08-31T14:00:00Z,17,1.0,4,3.0
2444493,3,True,2024-08-31T14:00:00Z,3,3.0,8,2.0
2444494,3,True,2024-08-31T14:00:00Z,9,1.0,10,1.0
2444495,3,True,2024-08-31T14:00:00Z,2,2.0,11,1.0
2444498,3,True,2024-08-31T14:00:00Z,20,1.0,16,1.0
2444499,3,True,2024-08-31T16:30:00Z,13,3.0,19,1.0
2444492,3,True,2024-09-01T12:30:00Z,7,1.0,6,1.0
2444497,3,True,2024-09-01T12:30:00Z,18,1.0,15,2.0
2444496,3,True,2024-09-01T15:00:00Z,12,3.0,14,0.0
2444507,4,True,2024-09-14T11:30:00Z,14,3.0,17,0.0
2444502,4,True,2024-09-14T14:00:00Z,10,0.0,5,0.0
2444503,4,True,2024-09-14T14:00:00Z,11,2.0,7,2.0
2444504,4,True,2024-09-14T14:00:00Z,19,1.0,9,1.0
2444505,4,True,2024-09-14T14:00:00Z,16,1.0,12,0.0
2444506,4,True,2024-09-14T14:00:00Z,4,1.0,13,2.0
2444501,4,True,2024-09-14T16:30:00Z,8,2.0,2,3.0
2444500,4,True,2024-09-14T19:00:00Z,6,1.0,3,0.0
2444508,4,True,2024-09-15T13:00:00Z,1,1.0,18,0.0
2444509,4,True,2024-09-15T15:30:00Z,15,2.0,20,1.0
2444519,5,True,2024-09-21T11:30:00Z,6,3.0,19,0.0
2444510,5,True,2024-09-21T14:00:00Z,20,1.0,2,3.0
2444513,5,True,2024-09-21T14:00:00Z,15,1.0,9,3.0
2444514,5,True,2024-09-21T14:00:00Z,8,1.0,11,1.0
2444515,5,True,2024-09-21T14:00:00Z,3,0.0,12,3.0
2444517,5,True,2024-09-21T14:00:00Z,10,1.0,17,1.0
2444518,5,True,2024-09-21T14:00:00Z,4,1.0,18,3.0
2444512,5,True,2024-09-21T16:30:00Z,14,0.0,7,0.0
2444511,5,True,2024-09-22T13:00:00Z,16,2.0,5,2.0
2444516,5,True,2024-09-22T15:30:00Z,1,2.0,13,2.0
2444527,6,True,2024-09-28T11:30:00Z,13,1.0,15,1.0
2444521,6,True,2024-09-28T14:00:00Z,11,2.0,1,4.0
2444522,6,True,2024-09-28T14:00:00Z,19,1.0,4,1.0
2444523,6,True,2024-09-28T14:00:00Z,5,2.0,6,4.0
2444524,6,True,2024-09-28T14:00:00Z,7,1.0,8,2.0
2444528,6,True,2024-09-28T14:00:00Z,9,1.0,16,0.0
2444529,6,True,2024-09-28T16:30:00Z,12,2.0,20,1.0
2444525,6,True,2024-09-29T13:00:00Z,2,2.0,10,2.0
2444526,6,True,2024-09-29T15:30:00Z,18,3.0,14,0.0
2444520,6,True,2024-09-30T19:00:00Z,17,1.0,3,3.0
2444535,7,True,2024-10-05T11:30:00Z,12,1.0,7,0.0
2444530,7,True,2024-10-05T14:00:00Z,17,1.0,1,3.0
2444532,7,True,2024-10-05T14:00:00Z,20,3.0,4,5.0
2444537,7,True,2024-10-05T14:00:00Z,3,0.0,11,1.0
2444538,7,True,2024-10-05T14:00:00Z,9,2.0,13,3.0
2444539,7,True,2024-10-05T14:00:00Z,10,1.0,19,4.0
2444536,7,True,2024-10-05T16:30:00Z,15,0.0,8,0.0
2444531,7,True,2024-10-06T13:00:00Z,14,0.0,2,0.0
2444534,7,True,2024-10-06T13:00:00Z,16,1.0,6,1.0
2444533,7,True,2024-10-06T15:30:00Z,18,2.0,5,3.0
2444548,8,True,2024-10-19T11:30:00Z,19,1.0,18,4.0
2444541,8,True,2024-10-19T14:00:00Z,2,3.0,9,1.0
2444544,8,True,2024-10-19T14:00:00Z,4,1.0,14,2.0
2444545,8,True,2024-10-19T14:00:00Z,5,1.0,15,0.0
2444547,8,True,2024-10-19T14:00:00Z,11,3.0,17,2.0
2444542,8,True,2024-10-19T14:15:00Z,8,2.0,10,0.0
2444540,8,True,2024-10-19T16:30:00Z,1,0.0,3,2.0
2444549,8,True,2024-10-20T13:00:00Z,13,2.0,20,1.0
2444543,8,True,2024-10-20T15:30:00Z,6,1.0,12,2.0
2444546,8,True,2024-10-21T19:00:00Z,7,0.0,16,1.0
2444557,9,True,2024-10-25T19:00:00Z,16,3.0,11,1.0
2444551,9,True,2024-10-26T14:00:00Z,3,1.0,2,1.0
2444552,9,True,2024-10-26T14:00:00Z,10,3.0,4,4.0
2444553,9,True,2024-10-26T14:00:00Z,20,2.0,5,2.0
2444558,9,True,2024-10-26T14:00:00Z,17,0.0,13,1.0
2444556,9,True,2024-10-26T16:30:00Z,9,1.0,8,1.0
2444554,9,True,2024-10-27T14:00:00Z,15,1.0,6,2.0
2444555,9,True,2024-10-27T14:00:00Z,18,0.0,7,1.0
2444559,9,True,2024-10-27T14:00:00Z,14,1.0,19,2.0
2444550,9,True,2024-10-27T16:30:00Z,12,2.0,1,2.0
2444565,10,True,2024-11-02T12:30:00Z,1,0.0,15,1.0
2444560,10,True,2024-11-02T15:00:00Z,13,1.0,3,2.0
2444562,10,True,2024-11-02T15:00:00Z,11,1.0,10,1.0
2444563,10,True,2024-11-02T15:00:00Z,5,1.0,12,2.0
2444566,10,True,2024-11-02T15:00:00Z,19,0.0,16,3.0
2444567,10,True,2024-11-02T15:00:00Z,8,0.0,17,1.0
2444569,10,True,2024-11-02T17:30:00Z,7,2.0,20,2.0
2444568,10,True,2024-11-03T14:00:00Z,2,1.0,18,4.0
2444564,10,True,2024-11-03T16:30:00Z,6,1.0,14,1.0
2444561,10,True,2024-11-04T20:00:00Z,4,1.0,9,2.0
2444570,11,True,2024-11-09T15:00:00Z,3,2.0,4,3.0
2444573,11,True,2024-11-09T15:00:00Z,9,2.0,7,0.0
2444578,11,True,2024-11-09T15:00:00Z,8,0.0,19,0.0
2444579,11,True,2024-11-09T15:00:00Z,17,0.0,20,2.0
2444571,11,True,2024-11-09T17:30:00Z,13,1.0,5,2.0
2444574,11,True,2024-11-09T20:00:00Z,2,0.0,12,2.0
2444575,11,True,2024-11-10T14:00:00Z,11,0.0,14,3.0
2444576,11,True,2024-11-10T14:00:00Z,15,3.0,16,1.0
2444577,11,True,2024-11-10T14:00:00Z,10,2.0,18,1.0
2444572,11,True,2024-11-10T16:30:00Z,1,1.0,6,1.0
2444586,12,True,2024-11-23T12:30:00Z,6,2.0,11,1.0
2444581,12,True,2024-11-23T15:00:00Z,16,0.0,1,3.0
2444582,12,True,2024-11-23T15:00:00Z,7,2.0,2,2.0
2444580,12,True,2024-11-23T15:00:00Z,5,2.0,3,1.0
2444583,12,True,2024-11-23T15:00:00Z,4,0.0,8,0.0
2444584,12,True,2024-11-23T15:00:00Z,20,4.0,9,1.0
2444587,12,True,2024-11-23T17:30:00Z,18,4.0,13,0.0
2444589,12,True,2024-11-24T14:00:00Z,12,3.0,17,2.0
2444585,12,True,2024-11-24T16:30:00Z,14,1.0,10,1.0
2444588,12,True,2024-11-25T20:00:00Z,19,2.0,15,0.0
2444591,13,True,2024-11-29T20:00:00Z,17,1.0,5,1.0
2444590,13,True,2024-11-30T15:00:00Z,11,1.0,4,4.0
2444593,13,True,2024-11-30T15:00:00Z,15,1.0,7,1.0
2444596,13,True,2024-11-30T15:00:00Z,10,0.0,16,1.0
2444599,13,True,2024-11-30T15:00:00Z,3,4.0,20,2.0
2444598,13,True,2024-11-30T17:30:00Z,1,5.0,19,2.0
2444592,13,True,2024-12-01T13:30:00Z,2,0.0,6,3.0
2444595,13,True,2024-12-01T13:30:00Z,8,0.0,14,4.0
2444597,13,True,2024-12-01T13:30:00Z,9,1.0,18,1.0
2444594,13,True,2024-12-01T16:00:00Z,13,0.0,12,2.0
2444605,14,True,2024-12-03T19:30:00Z,7,1.0,10,0.0
2444606,14,True,2024-12-03T20:15:00Z,19,1.0,11,3.0
2444603,14,True,2024-12-04T19:30:00Z,20,0.0,8,4.0
2444607,14,True,2024-12-04T19:30:00Z,16,0.0,13,3.0
2444608,14,True,2024-12-04T19:30:00Z,12,3.0,15,3.0
2444609,14,True,2024-12-04T19:30:00Z,6,5.0,17,1.0
2444601,14,True,2024-12-04T20:15:00Z,14,0.0,1,2.0
2444602,14,True,2024-12-04T20:15:00Z,4,1.0,2,3.0
2444604,14,True,2024-12-05T19:30:00Z,5,1.0,9,3.0
2444600,14,True,2024-12-05T20:15:00Z,18,0.0,3,1.0
2444610,15,True,2024-12-07T15:00:00Z,17,0.0,2,1.0
2444611,15,True,2024-12-07T15:00:00Z,15,2.0,4,4.0
2444612,15,True,2024-12-07T15:00:00Z,13,2.0,7,2.0
2444617,15,True,2024-12-07T17:30:00Z,16,3.0,14,2.0
2444614,15,True,2024-12-08T14:00:00Z,1,1.0,9,1.0
2444615,15,True,2024-12-08T14:00:00Z,3,2.0,10,1.0
2444616,15,True,2024-12-08T14:00:00Z,5,2.0,11,2.0
2444618,15,True,2024-12-08T16:30:00Z,6,4.0,18,3.0
2444619,15,True,2024-12-09T20:00:00Z,20,1.0,19,2.0
2444621,16,True,2024-12-14T15:00:00Z,8,0.0,1,0.0
2444624,16,True,2024-12-14T15:00:00Z,9,2.0,12,2.0
2444626,16,True,2024-12-14T15:00:00Z,11,0.0,15,4.0
2444629,16,True,2024-12-14T15:00:00Z,10,2.0,20,1.0
2444627,16,True,2024-12-14T17:30:00Z,2,1.0,16,2.0
2444622,16,True,2024-12-15T14:00:00Z,7,3.0,5,1.0
2444625,16,True,2024-12-15T16:30:00Z,14,2.0,13,1.0
2444623,16,True,2024-12-15T19:00:00Z,4,1.0,6,2.0
2444628,16,True,2024-12-15T19:00:00Z,18,5.0,17,0.0
2444620,16,True,2024-12-16T20:00:00Z,19,1.0,3,1.0
2444630,17,True,2024-12-21T12:30:00Z,13,1.0,2,2.0
